	anger	fear	joy	analytical	confident	tentative	danceability	acousticness	valence	tempo	energy	time_signature	mode	loudness	key
53	0.0	0.0	0.0	0.0	0.0	0.920327	0.184	0.995	0.151	170.612	0.00527	3.0	0.0	-37.264	1.0
54	0.0	0.0	0.587884	0.608567	0.0	0.0	0.433	0.995	0.423	99.964	0.0616	4.0	1.0	-20.494	7.0
55	0.0	0.0	0.0	0.769958	0.0	0.908434	0.478	0.655	0.455	113.902	0.33	3.0	1.0	-13.283	5.0
56	0.0	0.0	0.833831	0.908592	0.0	0.0	0.542	0.173	0.674	94.031	0.749	4.0	0.0	-8.333	6.0
57	0.0	0.0	0.613695	0.0	0.0	0.525472	0.607	0.46	0.16	100.351	0.789	4.0	0.0	-8.87	9.0
58	0.0	0.0	0.74004	0.0	0.0	0.949952	0.62	0.901	0.682	112.304	0.291	4.0	0.0	-14.691	5.0
59	0.0	0.0	0.672224	0.0	0.0	0.0	0.213	0.995	0.133	83.201	0.0143	4.0	1.0	-30.399	0.0
60	0.0	0.0	0.0	0.0	0.0	0.0	0.569	0.846	0.101	60.483	0.117	4.0	1.0	-22.741	5.0
61	0.0	0.0	0.917689	0.857009	0.0	0.902459	0.667	0.00129	0.0391	120.015	0.429	4.0	1.0	-12.137	11.0
62	0.0	0.0	0.800789	0.0	0.0	0.884138	0.393	0.0278	0.537	129.86	0.912	4.0	0.0	-8.285	11.0
63	0.0	0.0	0.530954	0.774734	0.0	0.0	0.544	0.99	0.166	132.0	0.0508	4.0	1.0	-22.612	8.0
64	0.0	0.0	0.779275	0.718961	0.0	0.954283	0.381	0.934	0.39	103.237	0.0907	4.0	0.0	-24.976	3.0
65	0.0	0.0	0.81122	0.0	0.0	0.0	0.417	0.826	0.555	148.094	0.111	5.0	0.0	-31.491	9.0
66	0.0	0.0	0.0	0.0	0.0	0.998976	0.385	0.958	0.734	109.065	0.172	5.0	0.0	-20.744	6.0
67	0.0	0.0	0.847523	0.97573	0.818552	0.0	0.657	0.498	0.819	93.891	0.891	4.0	1.0	-7.765	5.0
68	0.0	0.0	0.650769	0.896183	0.0	0.770435	0.384	0.815	0.217	80.229	0.336	4.0	1.0	-16.233	5.0
69	0.0	0.0	0.666444	0.516704	0.0	0.0	0.144	0.914	0.084	88.771	0.21	3.0	1.0	-15.425	7.0
70	0.581897	0.0	0.64821	0.0	0.0	0.0	0.221	0.872	0.0313	160.171	0.209	3.0	0.0	-15.715	9.0
71	0.0	0.0	0.689827	0.0	0.0	0.652113	0.376	0.494	0.0617	62.516	0.306	4.0	0.0	-14.615	9.0
72	0.0	0.0	0.705395	0.0	0.0	0.77361	0.736	0.00101	0.0802	120.995	0.68	4.0	0.0	-7.036	4.0
73	0.0	0.0	0.799469	0.0	0.0	0.0	0.279	0.103	0.135	115.13	0.472	3.0	1.0	-16.42	4.0
74	0.0	0.0	0.705503	0.0	0.0	0.853058	0.458	0.563	0.749	91.905	0.589	4.0	1.0	-9.443	5.0
75	0.0	0.0	0.0	0.0	0.0	0.0	0.157	0.993	0.0335	68.191	0.0209	3.0	1.0	-26.371	4.0
76	0.0	0.0	0.663177	0.0	0.623412	0.0	0.708	0.945	0.876	106.314	0.163	4.0	1.0	-20.238	0.0
