spotify_song_id,danceability,acousticness,valence,tempo,energy,time_signature,mode,loudness,key,id
44RRNCHX9oJqPxjyJlbSrV,0.288,0.994,0.147,68.857,0.00356,3,1,-39.026,9,97
2rxXooZErB9jPSqydorHuu,0.113,0.859,0.0608,86.823,0.193,4,1,-20.555,5,98
1n8NKQRg8LVHy7oUhUgbFF,0.156,0.897,0.077,73.407,0.162,4,0,-17.101,2,99
2oqgnxjyNYItifLYl9MzaW,0.124,0.978,0.041,96.272,0.0179,4,0,-32.271,6,100
4wZUQwdMhIHr29KzX0HXLg,0.0976,0.98,0.0293,88.868,0.0237,4,1,-25.578,8,101
02TadnJNMcVjr4baY39H1p,0.39,0.893,0.571,109.964,0.157,5,1,-15.898,3,102
3dObajAARX9gtSsSxcd9Tc,0.249,0.986,0.0421,97.48,0.00687,4,1,-34.225,11,103
6GzMz3s0K1YKwRVI36CgRx,0.343,0.991,0.0378,60.228,0.0342,3,1,-25.591,8,104
5410xnzJJ4jRKyl3Pp3jB9,0.298,0.992,0.121,134.601,0.114,5,0,-17.593,9,105
4rl0Zp21AhOflFl6ttv6Ou,0.183,0.785,0.0543,111.851,0.131,4,0,-17.785,1,106
1FHpgVtsaDeASGQyehjlzS,0.389,0.992,0.11,85.227,0.0142,1,1,-32.378,9,107
03xxnNXmK7lJjW9hV2ldn8,0.198,0.901,0.189,88.813,0.0313,4,1,-26.69,3,108
4Ls1CmcfOrdWnlZQt7cXeE,0.213,0.995,0.133,83.201,0.0143,4,1,-30.399,0,109
1QmhkjuUlosROqKk59sBSK,0.179,0.996,0.068,77.116,0.026,3,0,-30.937,0,110
5qWFRThiYrdNTFAkvGnlwc,0.131,0.729,0.039,75.637,0.103,3,1,-22.175,10,111
0qkMYjXnxz91fEnnuMZNi0,0.235,0.961,0.0763,73.437,0.199,4,0,-25.239,6,112
43kIdtVGy6l5207N9UgHRF,0.0826,0.842,0.035,171.386,0.141,4,1,-22.124,11,113
2jUfzc1laRhp7krOq6zSns,0.382,0.956,0.0951,116.243,0.349,4,0,-16.071,5,114
43a9SF39HIK863CEJwOHeg,0.193,0.953,0.155,103.437,0.0586,3,0,-26.071,0,115
6A0PC9wNdn0xvBIKnzVkRh,0.309,0.964,0.452,108.61,0.224,3,0,-20.977,7,116
3pDcfGFaFitzMZZ3xj5HoQ,0.549,0.96,0.886,101.414,0.218,4,1,-22.073,3,117
2mYuazFCuAeDsU2EkY68Bp,0.158,0.858,0.0393,107.012,0.103,4,0,-23.792,11,118
6peXCPlFpyZr2uvEJICXw0,0.174,0.981,0.0336,173.216,0.0507,3,1,-26.392,5,119
0I2kwvXCLolYQ4nZQcF6EQ,0.341,0.994,0.18,65.942,0.0296,4,0,-26.526,7,120
5Z6c5OU1R6Ey9T4XOZdU1z,0.488,0.94,0.56,94.553,0.237,4,1,-19.884,7,121
7HSs4srn1qnZhh7WRWBVOk,0.209,0.927,0.153,85.851,0.101,4,1,-19.383,0,122
2kN58xvwz2qrMzpGwrcM0m,0.189,0.889,0.0722,135.34,0.349,4,1,-16.035,11,123
3xEJsNuVvU7IdX3VxAik2X,0.139,0.892,0.103,163.074,0.158,4,0,-17.145,10,124
17OyylldI5H3n8XxyaVqY6,0.193,0.872,0.0476,138.732,0.136,4,1,-23.057,9,125
0Ne5itrohiBOTy425hrBGJ,0.0901,0.869,0.0379,87.19,0.178,4,1,-22.421,11,126
0Ki3VDGuQinEgTydwrhml7,0.333,0.995,0.432,115.751,0.223,3,1,-18.798,0,127
6GmT92GQpA6kDC8rXCJN00,0.112,0.96,0.0394,74.498,0.043,4,0,-21.985,0,128
21Wlf0n8e0TVGs3MyGDvTt,0.131,0.949,0.0774,75.542,0.0589,4,0,-20.099,4,129
6O7Et1ArYoS9nOKwRjK3Oq,0.176,0.946,0.111,107.057,0.106,3,0,-25.103,2,130
1fIg2xMn1xYlmiRKGULcEy,0.497,0.995,0.209,71.193,0.0265,1,1,-27.446,4,131
67F2FBLJL9Wn09qvPe6XVa,0.245,0.863,0.107,73.114,0.247,4,0,-19.534,2,132
2w1UWIyMRcNqbseWaJJ5XX,0.086,0.885,0.0568,82.604,0.287,4,0,-15.541,1,133
4tomnQKFLdhCYOtTSmlv4Q,0.389,0.743,0.0772,106.055,0.526,4,0,-12.343,0,134
5vWB9HbTnP0n6aXZpMqBiQ,0.132,0.869,0.0593,96.462,0.129,4,1,-19.893,8,135
1ipJdiNMjgvfAilddGT9sI,0.308,0.995,0.0739,66.122,0.00605,5,1,-35.164,4,136
2LFGLqK12IzOi5sSu5wQJ6,0.119,0.78,0.0372,88.583,0.0223,4,1,-23.057,9,137
4aJr80fBig7JKUsyxUeQMP,0.113,0.972,0.104,81.053,0.0595,4,0,-19.719,5,138
7jajXMQrgyZTU9t0YkdRXW,0.445,0.776,0.0387,116.439,0.598,4,1,-18.742,9,139
6vdZRqSWf9bTOsOmP0cTf7,0.295,0.936,0.205,147.444,0.0527,4,1,-20.306,3,140
6vozhycIf8PgHWCO8013j1,0.303,0.89,0.0659,92.658,0.444,1,1,-14.687,5,141
6s0M6NqA9YIWnsRPMKRsi3,0.0879,0.965,0.0353,85.257,0.135,4,1,-19.361,0,142
1FycPgMDd5NkVV0zzbxGyN,0.092,0.954,0.0407,84.632,0.114,4,0,-21.167,4,143
2rvwA6qr52UUh8YFgebWyt,0.41,0.944,0.153,124.276,0.31,4,1,-15.502,8,144
1Dv9Ak9tPUOCAWTPLS6CkS,0.294,0.945,0.0885,100.882,0.176,4,0,-21.147,2,145
0BqbWiOxccb0qQshm3Whjt,0.155,0.876,0.0372,139.609,0.0958,3,1,-18.049,5,146
7GF0vVzYmirHi3nWjHbbTh,0.357,0.94,0.346,135.846,0.172,4,1,-16.119,0,147
37TBjwOpcQIo9IhScN3XhL,0.153,0.896,0.0276,85.317,0.0443,3,1,-21.68,7,148
1zOqrZCX1qyzyIlhMXALH2,0.273,0.626,0.0375,118.712,0.702,4,0,-12.429,11,149
3LNsyHdo8MWl4mqbkzAvKh,0.198,0.989,0.0399,69.315,0.0138,4,1,-30.715,8,150
2Q6eFnA0ngNJvtHDlcsJeZ,0.129,0.899,0.0393,61.01,0.435,4,0,-10.443,0,151
3BO3R8SLyb9cfSCgk1kXUl,0.147,0.867,0.0384,138.457,0.247,1,1,-16.216,7,152
0Y4jWsQaUsfMR5Izt22Po6,0.391,0.975,0.0571,75.512,0.00242,4,1,-21.29,0,153
17i5jLpzndlQhbS4SrTd0B,0.275,0.89,0.304,73.289,0.157,4,1,-18.752,7,154
5auxPiQ8ouJWE1Pe3SWhOc,0.221,0.815,0.034,100.023,0.161,4,1,-13.976,6,155
7oTKvLjCe7db1UxsImGBwr,0.384,0.996,0.117,116.941,0.00341,4,0,-39.053,0,156
7rGmhrepNzP1LJhm1bSRDA,0.62,0.962,0.532,98.52,0.055,4,0,-22.565,8,157
5G6E55eG8tvQrwlSAee9bh,0.426,0.945,0.632,142.362,0.373,5,0,-10.007,0,158
1UQHEsNF9Ow2LI1XCeVI51,0.415,0.956,0.097,134.911,0.127,3,1,-22.303,9,159
7uTyDwZOpODAIIWpkyX678,0.254,0.981,0.0363,111.59,0.00822,4,0,-29.216,9,160
0znpGssNRK5xBCvxOgfmVS,0.182,0.954,0.0364,65.614,0.0195,3,1,-30.831,2,161
15BP8nUb3oUEP7hRy4mFoz,0.212,0.923,0.0395,73.96,0.35,4,1,-16.027,11,162
4LaJulTC65NsRZuXoNUF8Z,0.262,0.891,0.0384,116.728,0.155,4,1,-20.661,5,163
7jXHtvJdsos3twI9tyCDu4,0.114,0.936,0.0385,85.335,0.215,1,1,-16.069,8,164
7bxCRQQjowMZl6tDLJCMRO,0.298,0.924,0.144,121.659,0.283,4,0,-15.594,4,165
5HfVLuge7NXEKY2ErYWsVN,0.348,0.923,0.16,99.036,0.306,4,1,-15.743,4,166
2nXkOW4fesxDw080qVVfTK,0.261,0.994,0.186,171.685,0.0139,4,0,-30.363,2,167
6PrKZUXJPmBiobMN44yR8Y,0.134,0.826,0.133,98.854,0.474,4,0,-13.864,9,168
6gz6rxRge7BLRreM9uJXxI,0.0784,0.537,0.0368,173.937,0.101,4,0,-23.881,2,169
5FHDGoO8MF9txy89VczxfY,0.533,0.995,0.0679,69.354,0.00805,4,1,-34.339,3,170
4UP1krmPc2VqQNmETlFJU1,0.0937,0.933,0.0392,163.545,0.128,1,1,-21.964,5,171
6515L0Iaaah4YZUJubjfPS,0.16,0.988,0.0372,65.147,0.0157,4,1,-30.037,10,172
5h4bVElGkP6CryCHL8WMd8,0.498,0.952,0.449,112.449,0.0887,4,1,-18.499,5,173
3x4AbXBLj5t3x1OnAAVBiL,0.0602,0.861,0.0294,62.271,0.113,4,0,-17.579,7,174
25s70t8pGzaIG8FWCMwfsc,0.108,0.787,0.0565,82.274,0.117,3,1,-20.346,11,175
2zOGUiRStjCJLbvc7slMLR,0.145,0.974,0.102,90.132,0.0697,4,1,-20.409,3,176
1K2NgS8UaPjRtbGvUYE7Dw,0.329,0.996,0.238,70.295,0.00695,4,0,-34.227,11,177
7f6FUsWJfCUCO01WqTgs1u,0.444,0.734,0.189,137.98,0.125,4,0,-20.293,5,178
2UEer5v08SeaipCQuO4QNb,0.276,0.975,0.123,72.134,0.0885,4,1,-22.54,9,179
55wZi8kAOHttzy927WdDeE,0.0813,0.938,0.0382,81.838,0.0127,4,0,-29.964,2,180
1VVWruroBOclbhev74ipRG,0.111,0.858,0.0352,77.653,0.0195,3,0,-32.776,6,181
0voFtFihGCCN9p1M94CPRd,0.0962,0.8,0.0373,77.021,0.14,4,0,-18.478,2,182
3QaPlDueCFnbJdPCeK0RbM,0.278,0.896,0.093,103.339,0.136,4,1,-18.548,4,183
6CHIc7NYBvYPLEUHQxhHKg,0.349,0.856,0.309,113.297,0.245,4,1,-18.887,0,184
7H6lDjQ509hVPiN72wlwzM,0.362,0.995,0.236,72.248,0.034,4,0,-33.011,2,185
17s2hiR7ozvNNBzC4T95My,0.265,0.928,0.0528,162.181,0.0569,4,1,-23.055,7,186
7uf3aFC1msj0t5cYImgOWy,0.241,0.925,0.187,66.325,0.122,4,1,-22.411,7,187
3HdhJ7QOAKrvM2aEx4gzv5,0.15,0.971,0.0345,92.107,0.127,4,1,-21.071,7,188
1QlGhMVQkxVaPx1xn1iytU,0.113,0.85,0.0383,78.403,0.0657,4,0,-24.508,11,189
7hPr0zUTwv36B0zEEaZIXL,0.138,0.99,0.0399,75.859,0.0661,3,0,-21.33,6,190
67l1U6nKf6zgwCV3AhObFa,0.262,0.981,0.182,173.267,0.0751,1,1,-17.864,10,191
0UsWT4UhwBe7F9t3VWnSNX,0.457,0.918,0.254,86.995,0.18,4,1,-29.715,7,192
7jSQaXLzpLHjSQTev2krvT,0.197,0.978,0.0581,82.966,0.0364,3,1,-27.405,5,193
0PlTjNRzj6MkPfaLHNeZLZ,0.148,0.937,0.0806,68.455,0.106,4,1,-21.747,9,194
38iCfXPXqyeEHsNtlxjtSG,0.69,0.951,0.77,109.281,0.038,4,0,-33.714,6,195
2Ua2U7enh9ErAF6DaJh4hg,0.38,0.994,0.0807,71.024,0.0089,4,0,-33.388,6,196
68kd5lJWU2NBDCUPYbu1mL,0.235,0.957,0.0792,127.452,0.276,4,1,-14.456,0,197
4mtxCJw3BUxz6p8CopGNRI,0.522,0.995,0.229,133.747,0.00356,4,0,-39.995,4,198
0kXITpDCCVDZYu0LPuEaEk,0.19,0.618,0.0361,114.656,0.258,4,1,-14.91,5,199
7hRMS87mkKGR1IjpKuR5pm,0.475,0.982,0.0653,137.534,0.208,4,1,-22.031,2,200
5grzlt83cKal2JPOiGeeuv,0.113,0.971,0.0372,79.383,0.0341,3,1,-22.884,5,201
2kfeWxnFx8aur6rCMiEt8P,0.298,0.974,0.126,108.633,0.068,4,1,-22.769,0,202
4jNQkWhuzqrbqQuqanFFJ6,0.333,0.906,0.0566,141.839,0.114,4,1,-21.255,9,203
2yYXpmxUXWxcpc0b7oINEC,0.331,0.99,0.0667,81.343,0.156,4,0,-17.914,0,204
0HFjkbNO3zNliDAfQf61th,0.161,0.91,0.0384,92.705,0.036,3,1,-24.98,1,205
4HBMnZFquWVTATSjTABueZ,0.305,0.908,0.24,154.775,0.31,3,1,-19.617,7,206
4Bub8omJzWHwVmvRA4WtP3,0.1,0.882,0.0377,177.984,0.112,1,0,-20.962,4,207
7sAegd8lRXAYEW4utawKtf,0.325,0.93,0.289,112.777,0.216,4,1,-20.203,4,208
31loMj4ZFxOedEd2bHHQjg,0.164,0.897,0.0356,110.028,0.0313,5,1,-28.301,2,209
55tZdqljhlcFUqezd6xaua,0.24,0.992,0.0389,76.508,0.0373,4,0,-26.7,4,210
2jjVsWQEUeZ06qSqF8xiBr,0.109,0.91,0.0692,86.554,0.167,4,0,-18.669,4,211
1GZZIJyYnH9XT5yFz7BI44,0.0773,0.95,0.0298,80.896,0.0636,4,1,-20.556,4,212
5CwtA3N7sBvODD9MRvROaj,0.128,0.98,0.0365,90.391,0.0134,4,1,-34.203,6,213
0a9mUPCyu1R2kxRqDoO9Q3,0.421,0.994,0.177,135.028,0.00391,1,0,-34.993,6,214
3eToaSocfoZIvpZ0dBsmbp,0.264,0.98,0.13,92.968,0.121,3,1,-19.431,10,215
6RuLvotrYaws3OMLekBrub,0.109,0.874,0.035,81.545,0.275,5,0,-13.254,5,216
2SvULYdmPes23yZQYeLkXV,0.32,0.929,0.272,144.451,0.127,3,0,-15.953,7,217
3f3LeYfH03XYvwKlfsEsdh,0.124,0.943,0.0323,95.497,0.0265,4,0,-32.124,2,218
5dMJZzcAi2w1O8MXfSmAHe,0.0709,0.988,0.0396,77.388,0.0255,3,1,-22.677,5,219
4QjhTEN5goV16V5HtQsuMf,0.312,0.844,0.0656,84.896,0.568,4,0,-12.052,4,220
2tNgLn3yUISsXYRo2L9xVC,0.406,0.995,0.075,109.875,0.0396,4,1,-27.922,4,221
2lx4xGRieHpFgzzqP6ArDP,0.0791,0.657,0.0333,83.322,0.175,3,0,-20.152,9,222
0IbYGw9FH74pBQvj53Xk8l,0.605,0.947,0.0592,145.047,0.0206,4,0,-29.776,2,223
77KZcZx8aAv2qOCBkLB7zP,0.171,0.989,0.0392,87.778,0.0332,4,1,-25.436,5,224
4ASq8Q9pF05YGHxqL0PveM,0.335,0.972,0.466,109.566,0.268,4,1,-21.483,11,225
2Yjv7MOdst5y6fFsq4cKOL,0.208,0.961,0.231,177.108,0.276,3,0,-14.648,9,226
7H1WfmD5iXfUmPZA8xKZM2,0.0936,0.532,0.0573,86.957,0.218,3,1,-15.8,11,227
6KWlIAypAbAjCH31fxBhab,0.189,0.941,0.0811,74.773,0.18,4,1,-17.558,5,228
4O0Yww5OIWyfBvWn6xN3CM,0.144,0.914,0.084,88.771,0.21,3,1,-15.425,7,229
2TZ0BlkBcBKOIQAljtkuyS,0.39,0.845,0.471,127.966,0.339,4,1,-18.572,8,230
74unAIRMOGUBYZLhIUUztr,0.567,0.939,0.326,183.836,0.277,3,0,-13.403,9,231
7fjCjhCZdR0gSPVyv3DluQ,0.442,0.78,0.0395,112.065,0.247,4,1,-15.59,5,232
69RoAhDqFOiQb2pQvb24Ii,0.162,0.932,0.0445,131.626,0.102,3,0,-23.315,2,233
24A3HjyT5sGnrejr7yLDod,0.393,0.992,0.071,136.88,0.0462,3,1,-25.575,3,234
7cg8S2oryXnrMyMjrqO4Vd,0.318,0.992,0.133,98.973,0.00319,3,1,-29.087,8,235
4rFxf3jRHH8YoOEh7opTli,0.637,0.991,0.139,126.786,0.0193,4,1,-24.66,2,236
262HumMy5ZLcRgsP36CSyx,0.0624,0.992,0.0368,68.364,0.0894,3,1,-26.681,3,237
21JQE4MOrdxF6YNtBkeTJo,0.0987,0.956,0.0377,88.279,0.0677,3,1,-22.243,5,238
6RYfumCvLqDklZ61fnQtVx,0.165,0.982,0.0628,97.443,0.102,4,0,-17.65,2,239
6LgO4fLtl53eqrqMw0J2fV,0.167,0.955,0.0395,110.934,0.026,4,1,-34.532,3,240
3sO3HX4EP1jS9rZW9OvHCN,0.387,0.995,0.337,113.357,0.268,4,1,-13.996,0,241
0kd2DKhQH2lEH6esChjd9C,0.19,0.992,0.0675,101.917,0.0567,4,0,-23.509,1,242
6pCc5a0y7MUhfdMWTdiPhN,0.0665,0.926,0.0365,66.142,0.0495,4,1,-28.199,3,243
2TTwSbzdUsJPKioJ868N9D,0.0605,0.447,0.0314,58.993,0.128,5,0,-17.166,4,244
6uUiEQPBSdKQF8XUrsRhJk,0.0746,0.987,0.0284,79.376,0.0114,5,0,-33.262,7,245
7pHdkCXkeC8AYHMcIDzUdf,0.365,0.973,0.279,131.935,0.229,4,1,-16.174,5,246
5C4e0Zuh6pDyEGFn5ShmBi,0.155,0.918,0.0361,86.562,0.19,3,1,-20.06,7,247
